Tweet,sentiments,cleaned_tweets,tokens
We've 80 so far in our collection of 150+! happy  New gin menu coming soon as well!,1,Weve  so far in our collection of  happy New gin menu coming soon as well,"['weve', 'far', 'collection', 'happy', 'new', 'gin', 'menu', 'coming', 'soon', 'well']"
That would be a great trick happy,1,That would be a great trick happy,"['would', 'great', 'trick', 'happy']"
i don%27t know he looks so cool crying with joy,1,i dont know he looks so cool crying with joy,"['dont', 'know', 'look', 'cool', 'cry', 'joy']"
Hellooo.. happy  pussy (creepz_x),1,Hellooo happy pussy creepz_x,"['hellooo', 'happy', 'pussy', 'creepz_x']"
on Snapchat happy,1,on Snapchat happy,"['snapchat', 'happy']"
enjoy smile  h.e.r.,1,enjoy smile her,"['enjoy', 'smile']"
rt if you hate me crying with joy,1,rt if you hate me crying with joy,"['hate', 'cry', 'joy']"
Die evil raven! :D,1,Die evil raven D,"['die', 'evil', 'raven']"
Never give up on the things that make you smile happy,1,Never give up on the things that make you smile happy,"['never', 'give', 'thing', 'make', 'smile', 'happy']"
Stats for the day have arrived. 1 new follower and NO unfollowers happy  via,1,Stats for the day have arrived  new follower and NO unfollowers happy via,"['stats', 'day', 'have', 'arrived', 'new', 'follower', 'no', 'unfollowers', 'happy', 'via']"
Haha thanks fansnim! happy,1,Haha thanks fansnim happy,"['haha', 'thanks', 'fansnim', 'happy']"
i took a full drink into my uber; i guess you could say instant message pretty wild. These are the Tuesdays we'll never forget happy,1,i took a full drink into my uber i guess you could say instant message pretty wild These are the Tuesdays well never forget happy,"['took', 'full', 'drink', 'uber', 'guess', 'could', 'say', 'instant', 'message', 'pretty', 'wild', 'tuesday', 'well', 'never', 'forget', 'happy']"
It's a very cute picture though :D,1,Its a very cute picture though D,"['very', 'cute', 'picture', 'though']"
Play your part in raising funds for :,1,Play your part in raising funds for,"['play', 'part', 'raising', 'fund']"
Ohh yeah and we had sausage with our pancakes happy  x,1,Ohh yeah and we had sausage with our pancakes happy x,"['ohh', 'yeah', 'had', 'sausage', 'pancake', 'happy', 'x']"
especially for people who have low patience level happy,1,especially for people who have low patience level happy,"['especially', 'people', 'have', 'low', 'patience', 'level', 'happy']"
online shopping timmeee. anyone got good site suggestions? happy,1,online shopping timmeee anyone got good site suggestions happy,"['online', 'shopping', 'timmeee', 'anyone', 'got', 'good', 'site', 'suggestion', 'happy']"
Not really I am a Labour supporter and am actually quite glad happy  I mean how much did he claim in 2009 fuck off,1,Not really I am a Labour supporter and am actually quite glad happy I mean how much did he claim in  fuck off,"['not', 'really', 'labour', 'supporter', 'actually', 'quite', 'glad', 'happy', 'mean', 'much', 'did', 'claim', 'fuck']"
Issa Throwback. happy,1,Issa Throwback happy,"['issa', 'throwback', 'happy']"
Ouuuuu..... right in the jewels! :D,1,Ouuuuu right in the jewels D,"['ouuuuu', 'right', 'jewel']"
your an inspiration to everyone Miss Jones happy,1,your an inspiration to everyone Miss Jones happy,"['inspiration', 'everyone', 'miss', 'jones', 'happy']"
Feeling myself,1,Feeling myself,['feeling']
 got on my favorite boot cut jeans and roshe runs. No girl is safe today. Have a blessed 4/20 all smile,1,got on my favorite boot cut jeans and roshe runs No girl is safe today Have a blessed  all smile,"['got', 'favorite', 'boot', 'cut', 'jean', 'roshe', 'run', 'no', 'girl', 'safe', 'today', 'have', 'blessed', 'smile']"
Uncheck new arrivals happy,1,Uncheck new arrivals happy,"['uncheck', 'new', 'arrival', 'happy']"
AVI for my man :)Phone made like always wink,1,AVI for my man Phone made like always wink,"['avi', 'man', 'phone', 'made', 'like', 'always', 'wink']"
Hellooo happy  Ross Chaplin  (MasonCooper4),1,Hellooo happy Ross Chaplin MasonCooper,"['hellooo', 'happy', 'ross', 'chaplin', 'masoncooper']"
I write fiction. Some PR knob who writes sentence fragments on an iPad next to the Shoreditch House piss off,1,I write fiction Some PR knob who writes sentence fragments on an iPad next to the Shoreditch House piss off,"['write', 'fiction', 'pr', 'knob', 'writes', 'sentence', 'fragment', 'ipad', 'next', 'shoreditch', 'house', 'piss']"
Love this!,1,Love this,['love']
instant message perfectly fine :D how about you fellow ken,1,instant message perfectly fine D how about you fellow ken,"['instant', 'message', 'perfectly', 'fine', 'fellow', 'ken']"
the displayport to HDMI turned up so we back on to  screens o/ 5 days to get the dual PC stream setup sorted (lol) :D,1,the displayport to HDMI turned up so we back on to screens o  days to get the dual PC stream setup sorted lol D,"['displayport', 'hdmi', 'turned', 'back', 'screen', 'day', 'get', 'dual', 'pc', 'stream', 'setup', 'sorted', 'lol']"
pips singing let it snow crying with joy,1,pips singing let it snow crying with joy,"['pip', 'singing', 'let', 'snow', 'cry', 'joy']"
Let me eat that cake! :D :P,1,Let me eat that cake D P,"['let', 'eat', 'cake', 'p']"
Nah  over-rated happy  x,1,Nah overrated happy x,"['nah', 'overrated', 'happy', 'x']"
You may draw your conclusions from any deviation from that level either in the direction of therapy or prevention,1,You may draw your conclusions from any deviation from that level either in the direction of therapy or prevention,"['may', 'draw', 'conclusion', 'deviation', 'level', 'either', 'direction', 'therapy', 'prevention']"
Does not matter,1,Does not matter,"['doe', 'not', 'matter']"
 as long as she's cool,1,as long as shes cool,"['long', 'shes', 'cool']"
 I'll like her happy,1,Ill like her happy,"['ill', 'like', 'happy']"
Teaser coming out today at 4pm!Story,1,Teaser coming out today at pmStory,"['teaser', 'coming', 'out', 'today', 'pmstory']"
 music and direction by of my favourites by,1,music and direction by of my favourites by,"['music', 'direction', 'favourite']"
Hey everyone me and Harry have just had pancakes and maple syrup for breakfast . Great way to start the day happy  Miss you a,1,Hey everyone me and Harry have just had pancakes and maple syrup for breakfast Great way to start the day happy Miss you a,"['hey', 'everyone', 'harry', 'have', 'just', 'had', 'pancake', 'maple', 'syrup', 'breakfast', 'great', 'way', 'start', 'day', 'happy', 'miss']"
Cheers :D,1,Cheers D,['cheer']
thanks for the recent follow. Much appreciated happy  Want this,1,thanks for the recent follow Much appreciated happy Want this,"['thanks', 'recent', 'follow', 'much', 'appreciated', 'happy', 'want']"
Thanks for sharing my iris photo. I really appreciate it smile,1,Thanks for sharing my iris photo I really appreciate it smile,"['thanks', 'sharing', 'iris', 'photo', 'really', 'appreciate', 'smile']"
Hey thanks for being top High Value Members of last week,1,Hey thanks for being top High Value Members of last week,"['hey', 'thanks', 'top', 'high', 'value', 'member', 'last', 'week']"
 have a great,1,have a great,"['have', 'great']"
I'm sorry but people have to  make a living happy,1,Im sorry but people have to make a living happy,"['im', 'sorry', 'but', 'people', 'have', 'make', 'living', 'happy']"
I check Beautiful News every single day,1,I check Beautiful News every single day,"['check', 'beautiful', 'news', 'every', 'single', 'day']"
 It really is uplifting and inspiring,1,It really is uplifting and inspiring,"['really', 'uplifting', 'inspiring']"
 plus I want to win that Merc C63 silence  Sooo! happy,1,plus I want to win that Merc C silence Sooo happy,"['plus', 'want', 'win', 'merc', 'c', 'silence', 'sooo', 'happy']"
please let me meet taehyung hiks crying with joy  really hope i could win.This is my first cover,1,please let me meet taehyung hiks crying with joy really hope i could winThis is my first cover,"['please', 'let', 'meet', 'taehyung', 'hiks', 'cry', 'joy', 'really', 'hope', 'could', 'winthis', 'first', 'cover']"
year old i am commenting on all the new ladylike videos. trust me. not a troll,1,year old i am commenting on all the new ladylike videos trust me not a troll,"['year', 'old', 'commenting', 'new', 'ladylike', 'video', 'trust', 'not', 'troll']"
 just me killin time to say hey! :D,1,just me killin time to say hey D,"['just', 'killin', 'time', 'say', 'hey']"
celebrate Hitler's birthday! =D,1,celebrate Hitlers birthday D,"['celebrate', 'hitler', 'birthday']"
Just delivered my Managing the Online Customer Journey keynote at the Autodesk Partner Event. Incredible event,1,Just delivered my Managing the Online Customer Journey keynote at the Autodesk Partner Event Incredible event,"['just', 'delivered', 'managing', 'online', 'customer', 'journey', 'keynote', 'autodesk', 'partner', 'event', 'incredible', 'event']"
There're time we shcj do/did something that dissapointed ot6,1,Therere time we shcj dodid something that dissapointed ot,"['therere', 'time', 'shcj', 'dodid', 'something', 'dissapointed', 'ot']"
there're time shinhwa do/did something,1,therere time shinhwa dodid something,"['therere', 'time', 'shinhwa', 'dodid', 'something']"
well..human. That's all i,1,wellhuman Thats all i,"['wellhuman', 'thats']"
new video out today happy,1,new video out today happy,"['new', 'video', 'out', 'today', 'happy']"
Merry Christmas everyone happy,1,Merry Christmas everyone happy,"['merry', 'christmas', 'everyone', 'happy']"
big love for Anne cox happy,1,big love for Anne cox happy,"['big', 'love', 'anne', 'cox', 'happy']"
Just a new happy,1,Just a new happy,"['just', 'new', 'happy']"
Hellooo happy  Jackatkinson (jackat13),1,Hellooo happy Jackatkinson jackat,"['hellooo', 'happy', 'jackatkinson', 'jackat']"
thanks for the recent follow. Much appreciated happy  Get it,1,thanks for the recent follow Much appreciated happy Get it,"['thanks', 'recent', 'follow', 'much', 'appreciated', 'happy', 'get']"
thanks for the recent follow,1,thanks for the recent follow,"['thanks', 'recent', 'follow']"
 much appreciated happy   Want this,1,much appreciated happy Want this,"['much', 'appreciated', 'happy', 'want']"
Thanks for having me!! :D,1,Thanks for having me D,"['thanks', 'having']"
Hellooo happy  Xbox adHatter (XboxMadHatter),1,Hellooo happy Xbox adHatter XboxMadHatter,"['hellooo', 'happy', 'xbox', 'adhatter', 'xboxmadhatter']"
is the RockSoc still going? I was there at the beginning smile,1,is the RockSoc still going I was there at the beginning smile,"['rocksoc', 'still', 'going', 'beginning', 'smile']"
wow whattay decision both parties celebrating :D,1,wow whattay decision both parties celebrating D,"['wow', 'whattay', 'decision', 'party', 'celebrating']"
Free market is tops!!! Real human rights sound great to me,1,Free market is tops Real human rights sound great to me,"['free', 'market', 'top', 'real', 'human', 'right', 'sound', 'great']"
 thanks for your articles. B,1,thanks for your articles B,"['thanks', 'article', 'b']"
Hahaa I'm second best always happy,1,Hahaa Im second best always happy,"['hahaa', 'im', 'second', 'best', 'always', 'happy']"
Hellooo happy  KT Bear (FFABear),1,Hellooo happy KT Bear FFABear,"['hellooo', 'happy', 'kt', 'bear', 'ffabear']"
Superstar thanks so much for the kind words! Look forward to seeing you soon buddy smile,1,Superstar thanks so much for the kind words Look forward to seeing you soon buddy smile,"['superstar', 'thanks', 'much', 'kind', 'word', 'look', 'forward', 'seeing', 'soon', 'buddy', 'smile']"
yes... kind of funny and creepy at the same time  happy,1,yes kind of funny and creepy at the same time happy,"['yes', 'kind', 'funny', 'creepy', 'time', 'happy']"
Ministers of PMLN are happy like those students who never studied for exams  luckily exams got delayed. They'll still ha,1,Ministers of PMLN are happy like those students who never studied for exams luckily exams got delayed Theyll still ha,"['minister', 'pmln', 'happy', 'like', 'student', 'never', 'studied', 'exam', 'luckily', 'exam', 'got', 'delayed', 'theyll', 'still', 'ha']"
If you can send me a DM with your postcode I can check a few of your local stores. Look forward to your reply happy  - Nathan 2/2,1,If you can send me a DM with your postcode I can check a few of your local stores Look forward to your reply happy Nathan ,"['can', 'send', 'dm', 'postcode', 'can', 'check', 'local', 'store', 'look', 'forward', 'reply', 'happy', 'nathan']"
Petronas blue/green isnt that far away from Billy Monger blue/green.  Just a thought happy,1,Petronas bluegreen isnt that far away from Billy Monger bluegreen Just a thought happy,"['petronas', 'bluegreen', 'isnt', 'far', 'away', 'billy', 'monger', 'bluegreen', 'just', 'thought', 'happy']"
I have tested all sweet dishes but they are not as sweet as my lovers lips :)MARVOREE MagpasikatOnShowtime,1,I have tested all sweet dishes but they are not as sweet as my lovers lips MARVOREE MagpasikatOnShowtime,"['have', 'tested', 'sweet', 'dish', 'but', 'not', 'sweet', 'lover', 'lip', 'marvoree', 'magpasikatonshowtime']"
Ma de tonight i don%27t really care crying with joy,1,Ma de tonight i dont really care crying with joy,"['de', 'tonight', 'dont', 'really', 'care', 'cry', 'joy']"
Had a fun welcome back to taping! first day for happy  Mainit. Pawisan. Dirty. I really miss this,1,Had a fun welcome back to taping first day for happy Mainit Pawisan Dirty I really miss this,"['had', 'fun', 'welcome', 'back', 'taping', 'first', 'day', 'happy', 'mainit', 'pawisan', 'dirty', 'really', 'miss']"
Oh you American cultists :D,1,Oh you American cultists D,"['oh', 'american', 'cultist']"
Hi Stefan :)I am pretty confident this is isolated case and I would be glad to help with it.Could you DM me,1,Hi Stefan I am pretty confident this is isolated case and I would be glad to help with itCould you DM me,"['hi', 'stefan', 'pretty', 'confident', 'isolated', 'case', 'would', 'glad', 'help', 'itcould', 'dm']"
Hellooo happy  PixelSavage (Pixel_Savage_Yo),1,Hellooo happy PixelSavage Pixel_Savage_Yo,"['hellooo', 'happy', 'pixelsavage', 'pixel_savage_yo']"
I feel that way about life and is what gets me through everyday in a positive mood! happy,1,I feel that way about life and is what gets me through everyday in a positive mood happy,"['feel', 'way', 'life', 'get', 'everyday', 'positive', 'mood', 'happy']"
Your life is a reflection of the way you think. If you change the way you think,1,Your life is a reflection of the way you think If you change the way you think,"['life', 'reflection', 'way', 'think', 'change', 'way', 'think']"
 you change your whole life happy,1,you change your whole life happy,"['change', 'whole', 'life', 'happy']"
More kid/parent friendly spaces like this please.,1,More kidparent friendly spaces like this please,"['kidparent', 'friendly', 'space', 'like', 'please']"
That would be a great trick happy,1,That would be a great trick happy,"['would', 'great', 'trick', 'happy']"
Va astept la acest eveniment! :)Next events:,1,Va astept la acest eveniment Next events,"['va', 'astept', 'la', 'acest', 'eveniment', 'next', 'event']"
Thanks for the recent follow Happy to connect happy  have a great Thursday.,1,Thanks for the recent follow Happy to connect happy have a great Thursday,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'have', 'great', 'thursday']"
.listen to this beautiful video of her si,1,listen to this beautiful video of her si,"['listen', 'beautiful', 'video', 'si']"
mutual: let's talk more!me: for sure!mutual:  happy  me:,1,mutual lets talk moreme for suremutual happy me,"['mutual', 'let', 'talk', 'moreme', 'suremutual', 'happy']"
happy birthday crying with joy  yoyour so so cool and i hope yoyour day goes super good,1,happy birthday crying with joy yoyour so so cool and i hope yoyour day goes super good,"['happy', 'birthday', 'cry', 'joy', 'yoyour', 'cool', 'hope', 'yoyour', 'day', 'go', 'super', 'good']"
Hellooo happy  CJAY (CJAY_100),1,Hellooo happy CJAY CJAY_,"['hellooo', 'happy', 'cjay', 'cjay_']"
Thats sooooooooooooo sick!!!! xD Thanks so much for making it Kin!! I love it! :D,1,Thats sooooooooooooo sick xD Thanks so much for making it Kin I love it D,"['thats', 'sooooooooooooo', 'sick', 'xd', 'thanks', 'much', 'making', 'kin', 'love']"
That would be a great trick happy,1,That would be a great trick happy,"['would', 'great', 'trick', 'happy']"
I think I've finally figured out the tattoo I'm getting in August :D,1,I think Ive finally figured out the tattoo Im getting in August D,"['think', 'ive', 'finally', 'figured', 'out', 'tattoo', 'im', 'getting', 'august']"
So excited for ball to start smile    my baby is in minor B and I absolutely love watching them play,1,So excited for ball to start smile my baby is in minor B and I absolutely love watching them play,"['excited', 'ball', 'start', 'smile', 'baby', 'minor', 'b', 'absolutely', 'love', 'watching', 'play']"
Playing with the photo editor happy,1,Playing with the photo editor happy,"['playing', 'photo', 'editor', 'happy']"
Thank you! happy,1,Thank you happy,"['thank', 'happy']"
Hellooo happy  Bluey (xBlueys),1,Hellooo happy Bluey xBlueys,"['hellooo', 'happy', 'bluey', 'xblueys']"
I love you so much Rui-chan smile  smile,1,I love you so much Ruichan smile smile,"['love', 'much', 'ruichan', 'smile', 'smile']"
Hellooo happy  Xbox adHatter (XboxMadHatter),1,Hellooo happy Xbox adHatter XboxMadHatter,"['hellooo', 'happy', 'xbox', 'adhatter', 'xboxmadhatter']"
Mine isn't.  They back Jeremy 100% I'm pleased to say happy,1,Mine isnt They back Jeremy  Im pleased to say happy,"['mine', 'isnt', 'back', 'jeremy', 'im', 'pleased', 'say', 'happy']"
I dedicate this song to,1,I dedicate this song to,"['dedicate', 'song']"
Thanks brother ,1,Thanks brother,"['thanks', 'brother']"
stay cool ,1,stay cool,"['stay', 'cool']"
keep loving Deepika ,1,keep loving Deepika,"['keep', 'loving', 'deepika']"
ban ja hero :D,1,ban ja hero D,"['ban', 'ja', 'hero']"
Made new logotypes for Really fun to work on  You should follow if you want to keep yourself updated,1,Made new logotypes for Really fun to work on You should follow if you want to keep yourself updated,"['made', 'new', 'logotype', 'really', 'fun', 'work', 'should', 'follow', 'want', 'keep', 'updated']"
Shut up,1,Shut up,['shut']
 you don't ever have to thank me J hunt,1,you dont ever have to thank me J hunt,"['dont', 'ever', 'have', 'thank', 'j', 'hunt']"
 I'll always be there. Love you happy,1,Ill always be there Love you happy,"['ill', 'always', 'love', 'happy']"
Dispo 3LANs happy,1,Dispo LANs happy,"['dispo', 'lan', 'happy']"
laughing out loud so cuteee happy,1,laughing out loud so cuteee happy,"['laughing', 'out', 'loud', 'cuteee', 'happy']"
Thanks for the recent follow Happy to connect happy  have a great Thursday.  Want this ?,1,Thanks for the recent follow Happy to connect happy have a great Thursday Want this,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'have', 'great', 'thursday', 'want']"
Thanks for the recent follow Happy to connect happy  have a great Thursday.,1,Thanks for the recent follow Happy to connect happy have a great Thursday,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'have', 'great', 'thursday']"
That would be a great trick happy,1,That would be a great trick happy,"['would', 'great', 'trick', 'happy']"
Sir Ash Ketchum and Princess May. happy,1,Sir Ash Ketchum and Princess May happy,"['sir', 'ash', 'ketchum', 'princess', 'may', 'happy']"
this guy got me into exo back in 2013. he was also my very first bias in kpop. to be honest i miss him so much. happy birthd,1,this guy got me into exo back in  he was also my very first bias in kpop to be honest i miss him so much happy birthd,"['guy', 'got', 'exo', 'back', 'also', 'very', 'first', 'bias', 'kpop', 'honest', 'miss', 'much', 'happy', 'birthd']"
Thanks for the recent follow Happy to connect happy  have a great Thursday.,1,Thanks for the recent follow Happy to connect happy have a great Thursday,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'have', 'great', 'thursday']"
Hi Yolandi,1,Hi Yolandi,"['hi', 'yolandi']"
 thanks so much for following us! We'd love to know what you think of our flooring range happy,1,thanks so much for following us Wed love to know what you think of our flooring range happy,"['thanks', 'much', 'following', 'u', 'wed', 'love', 'know', 'think', 'flooring', 'range', 'happy']"
That's the law of nature happy,1,Thats the law of nature happy,"['thats', 'law', 'nature', 'happy']"
thanks happy,1,thanks happy,"['thanks', 'happy']"
Get your Own Rover :Dthey are Double Sided! check it out shipping: worldwide!,1,Get your Own Rover Dthey are Double Sided check it out shipping worldwide,"['get', 'rover', 'dthey', 'double', 'sided', 'check', 'out', 'shipping', 'worldwide']"
Prettier 1.0 is not the end. I just released 1.2.0 that fixes another batch of edge cases happy,1,Prettier  is not the end I just released  that fixes another batch of edge cases happy,"['prettier', 'not', 'end', 'just', 'released', 'fix', 'another', 'batch', 'edge', 'case', 'happy']"
thanks for the recent follow. Much appreciated happy  Want this?,1,thanks for the recent follow Much appreciated happy Want this,"['thanks', 'recent', 'follow', 'much', 'appreciated', 'happy', 'want']"
.Thanks so much for the RT,1,Thanks so much for the RT,"['thanks', 'much']"
 and have yourself a groovy Thursday!  happy,1,and have yourself a groovy Thursday happy,"['have', 'groovy', 'thursday', 'happy']"
your always welcome thank you sa treat sa susunod ako happy,1,your always welcome thank you sa treat sa susunod ako happy,"['always', 'welcome', 'thank', 'sa', 'treat', 'sa', 'susunod', 'ako', 'happy']"
These are for  happy,1,These are for happy,['happy']
Slayin_Bodies Going Live...Please Tune In...Thank You happy,1,Slayin_Bodies Going LivePlease Tune InThank You happy,"['slayin_bodies', 'going', 'liveplease', 'tune', 'inthank', 'happy']"
Made my day! Great story happy,1,Made my day Great story happy,"['made', 'day', 'great', 'story', 'happy']"
i will do happy,1,i will do happy,"['will', 'do', 'happy']"
Thanks for the recent follow Happy to connect happy  have a great Thursday.,1,Thanks for the recent follow Happy to connect happy have a great Thursday,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'have', 'great', 'thursday']"
Maybe? Definitely! happy  Also,1,Maybe Definitely happy Also,"['maybe', 'definitely', 'happy', 'also']"
 try the front door,1,try the front door,"['try', 'front', 'door']"
 it may be open happy,1,it may be open happy,"['may', 'open', 'happy']"
thanks for the follow,1,thanks for the follow,"['thanks', 'follow']"
 have a great week!! happy,1,have a great week happy,"['have', 'great', 'week', 'happy']"
haha! i would love to work for a train company :D be a great dream come true!,1,haha i would love to work for a train company D be a great dream come true,"['haha', 'would', 'love', 'work', 'train', 'company', 'great', 'dream', 'come', 'true']"
Dumbing down of popular entertainment is an important issue.,1,Dumbing down of popular entertainment is an important issue,"['dumbing', 'popular', 'entertainment', 'important', 'issue']"
Hey thanks for being top new followers this week! Much appreciated happy,1,Hey thanks for being top new followers this week Much appreciated happy,"['hey', 'thanks', 'top', 'new', 'follower', 'week', 'much', 'appreciated', 'happy']"
i swear sometimes it's cool to break some mutuals happy,1,i swear sometimes its cool to break some mutuals happy,"['swear', 'sometimes', 'cool', 'break', 'mutuals', 'happy']"
........Yeah sure happy,1,Yeah sure happy,"['yeah', 'sure', 'happy']"
Go to Five Below. You can get a decent protective case that's cute for 5 bucks happy  it's where I got mi,1,Go to Five Below You can get a decent protective case thats cute for  bucks happy its where I got mi,"['go', 'five', 'can', 'get', 'decent', 'protective', 'case', 'thats', 'cute', 'buck', 'happy', 'got', 'mi']"
Hey thanks for being top new followers this week! Much appreciated happy   Want this ?,1,Hey thanks for being top new followers this week Much appreciated happy Want this,"['hey', 'thanks', 'top', 'new', 'follower', 'week', 'much', 'appreciated', 'happy', 'want']"
Thanks for being High Value Member  this week,1,Thanks for being High Value Member this week,"['thanks', 'high', 'value', 'member', 'week']"
 Much appreciated happy,1,Much appreciated happy,"['much', 'appreciated', 'happy']"
I love laying in a meadow of flowers listening to Mellow's music ...a great way to relax smile,1,I love laying in a meadow of flowers listening to Mellows music a great way to relax smile,"['love', 'laying', 'meadow', 'flower', 'listening', 'mellows', 'music', 'great', 'way', 'relax', 'smile']"
not going to burst more data crying with joy,1,not going to burst more data crying with joy,"['not', 'going', 'burst', 'data', 'cry', 'joy']"
Thanks for the recent follow Happy to connect happy  have a great Thursday. Want this,1,Thanks for the recent follow Happy to connect happy have a great Thursday Want this,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'have', 'great', 'thursday', 'want']"
thanks for the recent follow. Much appreciated happy   Want this ?,1,thanks for the recent follow Much appreciated happy Want this,"['thanks', 'recent', 'follow', 'much', 'appreciated', 'happy', 'want']"
I say keep with it. happy,1,I say keep with it happy,"['say', 'keep', 'happy']"
In case you missed it,1,In case you missed it,"['case', 'missed']"
 I released a new video about game genres.RTs are super appreciated happy,1,I released a new video about game genresRTs are super appreciated happy,"['released', 'new', 'video', 'game', 'genresrts', 'super', 'appreciated', 'happy']"
Thanks for the recent follow Happy to connect happy  have a great Thursday.,1,Thanks for the recent follow Happy to connect happy have a great Thursday,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'have', 'great', 'thursday']"
Dude,1,Dude,['dude']
 this freaking chapter of One Piece!! It's definitely a good one! :D,1,this freaking chapter of One Piece Its definitely a good one D,"['freaking', 'chapter', 'one', 'piece', 'definitely', 'good', 'one']"
Who wants some good vibes? Watch this on YouTube or TV100 application now for FREE happy,1,Who wants some good vibes Watch this on YouTube or TV application now for FREE happy,"['want', 'good', 'vibe', 'watch', 'youtube', 'tv', 'application', 'free', 'happy']"
No worries happy,1,No worries happy,"['no', 'worry', 'happy']"
Nitpicking,1,Nitpicking,['nitpicking']
 I know. happy,1,I know happy,"['know', 'happy']"
and the hype is real happy,1,and the hype is real happy,"['hype', 'real', 'happy']"
FL design Done by me  Inspired from FL  Hopyou you all love it,1,FL design Done by me Inspired from FL Hopyou you all love it,"['fl', 'design', 'done', 'inspired', 'fl', 'hopyou', 'love']"
Bambam talks the most tonight :D,1,Bambam talks the most tonight D,"['bambam', 'talk', 'tonight']"
my favorite hobby is finding the negative in a positive thing happy,1,my favorite hobby is finding the negative in a positive thing happy,"['favorite', 'hobby', 'finding', 'negative', 'positive', 'thing', 'happy']"
Hey thanks for being top new followers this week! Much appreciated happy   Want this ?,1,Hey thanks for being top new followers this week Much appreciated happy Want this,"['hey', 'thanks', 'top', 'new', 'follower', 'week', 'much', 'appreciated', 'happy', 'want']"
 sorry about that. You can always ask us to follow you so you can DM you happy,1,sorry about that You can always ask us to follow you so you can DM you happy,"['sorry', 'can', 'always', 'ask', 'u', 'follow', 'can', 'dm', 'happy']"
after that I was charged because of the driver happy  after waiting in the sun for 10 minutes! TEN!,1,after that I was charged because of the driver happy after waiting in the sun for  minutes TEN,"['charged', 'driver', 'happy', 'waiting', 'sun', 'minute', 'ten']"
to WIN draw for free download of for Celebrate with us. Developed by for,1,to WIN draw for free download of for Celebrate with us Developed by for,"['win', 'draw', 'free', 'download', 'celebrate', 'u', 'developed']"
TRUE,1,TRUE,['true']
They pinched him on a free? His quality on FM smile,1,They pinched him on a free His quality on FM smile,"['pinched', 'free', 'quality', 'fm', 'smile']"
CSGOBOUNTY GIVEAWAY - 1 random KEY. 25 RETWEETS,1,CSGOBOUNTY GIVEAWAY  random KEY  RETWEETS,"['csgobounty', 'giveaway', 'random', 'key', 'retweets']"
 random winner :D Retweet AND LIKE to be able to win happy,1,random winner D Retweet AND LIKE to be able to win happy,"['random', 'winner', 'retweet', 'like', 'able', 'win', 'happy']"
Thanks for the recent follow Happy to connect happy  have a great Wednesday.,1,Thanks for the recent follow Happy to connect happy have a great Wednesday,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'have', 'great', 'wednesday']"
You are welcome happy,1,You are welcome happy,"['welcome', 'happy']"
This makes a great point,1,This makes a great point,"['make', 'great', 'point']"
 I really liked  happy,1,I really liked happy,"['really', 'liked', 'happy']"
Superstar thanks so much for the kind words! Look forward to seeing you soon buddy smile,1,Superstar thanks so much for the kind words Look forward to seeing you soon buddy smile,"['superstar', 'thanks', 'much', 'kind', 'word', 'look', 'forward', 'seeing', 'soon', 'buddy', 'smile']"
Can you do that when player kills you. Then the player rank would show up. happy,1,Can you do that when player kills you Then the player rank would show up happy,"['can', 'do', 'player', 'kill', 'player', 'rank', 'would', 'show', 'happy']"
True! U can waste a day in social media and reading websites. On the other hand,1,True U can waste a day in social media and reading websites On the other hand,"['true', 'u', 'can', 'waste', 'day', 'social', 'medium', 'reading', 'website', 'hand']"
 idea of saying No to almo,1,idea of saying No to almo,"['idea', 'saying', 'no', 'almo']"
i love him so much i want to kindly stroke his penis :D,1,i love him so much i want to kindly stroke his penis D,"['love', 'much', 'want', 'kindly', 'stroke', 'penis']"
Thanks,1,Thanks,['thanks']
 i'll give it a try happy,1,ill give it a try happy,"['ill', 'give', 'try', 'happy']"
I would say quite a lot...but hey,1,I would say quite a lotbut hey,"['would', 'say', 'quite', 'lotbut', 'hey']"
 that's Europe,1,thats Europe,"['thats', 'europe']"
 rather than the UK,1,rather than the UK,"['rather', 'uk']"
 isn't it? smile  Britain co,1,isnt it smile Britain co,"['isnt', 'smile', 'britain', 'co']"
YO THANK YOU FOR OVER 15,1,YO THANK YOU FOR OVER ,"['yo', 'thank']"
515 SUBSCRIBERS!!!! :DTHE CONTINUES!,1, SUBSCRIBERS DTHE CONTINUES,"['subscriber', 'dthe', 'continues']"
Thanks for the recent follow Happy to connect happy  have a great Thursday. Want it,1,Thanks for the recent follow Happy to connect happy have a great Thursday Want it,"['thanks', 'recent', 'follow', 'happy', 'connect', 'happy', 'have', 'great', 'thursday', 'want']"
Last retweet about happy,1,Last retweet about happy,"['last', 'retweet', 'happy']"
Hello everyone,1,Hello everyone,"['hello', 'everyone']"
 have a great Thursday! Looking forward to reading your tweets happy   Want this,1,have a great Thursday Looking forward to reading your tweets happy Want this,"['have', 'great', 'thursday', 'looking', 'forward', 'reading', 'tweet', 'happy', 'want']"
